货品编号,单价,数量
101001,2.3983,75
82004,4.1026,60
LM-K932,0.8120,192
LS1082A,6.5214,72
RS-HZXP,0.8256,300
RT0056,4.7265,36
RT0301,5.9231,48
RT0202,5.9231,252
RT0218,5.9231,36
RT0201,3.5299,36
F2-238,3.3504,80
RS-LH,2.8034,10
HK0501-03,2.8034,96
GCP15009,4.5239,140
640639,7.3872,100
GCP16008,5.6692,100
NO.300,6.8145,45
NO.507,8.5325,30
NO.155,6.2419,45
GCP16001,3.3786,80
NO.1011,3.9513,120
YZ1526,2.8060,90
YZ1530,2.2333,108
YZ1515,2.0043,54
MK-6,7.3872,80
MK-1,6.2419,40
6612,5.0966,40
