货品编号,单价,数量
3501,11.2650,-7.000
2008,4.1282,-6.000
128-I,5.6026,-4.000
2028,3.5897,-4.000
854,3.7979,-1.000
988-24,7.7778,-133.000
1023,5.4493,-2.000
1017,8.2013,-1.000
AB03 ,5.6025,-12.000
LV-006d,2.6923,-1.000
Az-009b,0.7778,-8.000
7713,4.4872,-3.000
LB0033,2.8718,-2.000
2013A,7.1346,-10.000
1110A,9.2222,-11.000
2062,5.2991,-2.000
TK705,7.6068,-36.000
1078A,8.9145,-4.000
LLD001,4.3975,-112.000
LLD002,3.0489,-10.000
101001,2.3983,-1.000
C-SOC,6.8205,-9.000
D001,1.4800,-12.000
1330,2.8333,-137.000
TY-077,3.2333,-191.000
TY-084,7.2222,-2.000
TY-073,1.6513,-1.000
TY-091,2.4664,-55.000
TY-011,0.8256,-15.000
LM-K932,0.8120,-5.000
WCN-NA537,1.9145,-1.000
WCN-SA587,4.6068,-2.000
RS-3424,2.8677,-4.000
CH6710,6.4145,-3.000
NO.191,5.0855,-1.000
CH6700,7.1923,-6.000
3522-10,11.3077,-2.000
WCN-G660MK,6.8985,-1.000
E1541,1.4359,-3.000
C-FW,3.7979,-1.000
C-SFI,5.9231,-11.000
SZA,7.7735,-208.000
H-893,4.0000,-1.000
DEP001-3,11.0684,-2.000
887-4,5.3248,-3.000
NO.194,4.3590,-2.000
BA66,4.7265,-51.000
C-SFI007A/B,6.8923,-11.000
CZC001I-A/B,5.9231,-3.000
6207,10.7154,-2.000
818,22.6783,-13.000
MB-955-2,5.4493,-5.000
YZ3601,8.3047,-11.000
C-MNJP,5.5385,-26.000
CLLL0004I,1.7350,-54.000
C-SDCY,2.9316,-13.000
NO.297,4.8752,-2.000
6101,59.6581,-6.000
LS1082A,5.6026,-104.000
TK718,14.0131,-20.000
TK1605,20.5000,-19.000
2017A2555,19.6838,-494.000
6300-24,10.7154,-2.000
3558,8.0385,-3.000
3568,12.9103,-2.000
BD-180,7.7179,-75.000
6817,3.2475,-68.000
BL-057,13.3105,-83.000
BL-061,10.7094,-78.000
LT6201-01,3.9786,-4.000
E1046,7.1595,-145.000
F3-053,4.6320,-1.000
RS-JXYZB,0.8974,-238.000
WB-558,8.8205,-224.000
BP15904,8.8068,-2.000
BY15314,19.8154,-9.000
BY15309,23.3333,-10.000
BJ15902,19.8154,-11.000
BH15901,29.3162,-5.000
BG15908,37.9795,-6.000
BH15929,41.2821,-10.000
BF15635,17.3504,-10.000
BF15632,15.9624,-10.000
BH15926,77.1795,-3.000
BAR001-5,8.9145,-9.000
BAR001-4,6.5214,-1.000
BAR002-2,11.3077,-13.000
RT0202,5.4493,-6.000
RT0010,3.2475,-1.000
RT0057,5.4493,-2.000
RT0218,5.4493,-1.000
YH-RSHZB-4 ,7.7846,-77.000
RS-TTSL,10.7692,-2.000
RS-YYL-1,9.4304,-25.000
RT-0020,2.2335,-34.000
83005,9.6752,-27.000
cp-bar003,10.4817,-4.000
cp-bar002,10.4817,-4.000
cp-bar001,17.8575,-4.000
68013-18,6.7962,-2.000
